time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,pv,wind
164,31.60530197,6.478206026,36.04772693,28.07688891,28.12206775,15.46027712,18.84327896,12.47768574,22.49360777,24.53114661,0.191054721,0.156272561
165,36.3831756,6.933967264,26.7493988,25.46662703,29.14156524,14.83057805,15.74852161,13.46813774,24.07029054,26.30819495,0.029096577,0.183548367
166,33.46365086,8.108125127,33.02997383,30.55693568,29.04947188,14.94912517,19.58591281,15.70036725,18.5571578,21.94857597,0.032429396,0.139401149
167,36.13337869,6.083870732,38.51320485,27.59330813,31.61168255,13.15016901,17.29348325,12.6028838,21.30054015,21.51846287,0.036073609,0.098364359
168,36.85555799,8.147556442,31.5505497,27.99464515,29.59490726,13.71085992,20.68420875,12.1323385,22.9025863,22.62750369,0.042118801,0.218114465
169,38.62943933,11.36821191,34.76983361,26.25210117,37.71180463,15.93063375,22.03262993,16.32217774,21.83681169,24.4918024,0,0.201057919
170,33.69702182,11.30782653,27.18445453,26.80794142,37.52240142,13.56747466,19.41811689,18.08275585,23.55144229,24.99601603,0,0.15724358
171,37.25426438,11.30095752,28.53856856,28.58624721,28.87169348,17.98845398,20.79274579,19.56125498,26.47314357,21.43143104,0,0.202040475
172,34.49827568,11.03256289,29.04829383,27.41869117,29.72575982,14.89188609,21.25405344,14.84463734,21.30546991,22.97139764,0,0.170503025
173,49.8449795,17.69991586,39.94267549,14.19382992,34.86075149,22.62636308,27.22860397,27.33723856,26.11508495,31.09834714,0,0.126268708
174,45.56183985,16.97560483,37.19998705,12.15887525,38.6234204,20.86671337,23.36225345,23.90523412,24.03223325,26.85834987,0,0.163600408
175,44.09281088,16.39513066,32.72621697,13.34367534,33.37192728,25.63164923,26.68472194,28.90623854,25.91759396,27.80615749,0,0.137956717
176,50.32477776,19.59595297,35.43141733,11.22786923,38.85155485,24.92464539,24.27140306,27.9217551,26.9805411,22.0651801,0,0.12664144
177,53.52911992,18.79867701,43.15409172,3.628935424,39.81678421,25.71961687,27.94891403,32.15850119,31.50646287,25.83319041,0,0.210812457
178,43.29601898,19.66433196,33.11737662,3.335885792,37.75612926,23.04954381,28.5153507,34.42611368,22.1389692,21.96594257,0,0.206037832
179,48.9023039,19.86750621,37.98645074,3.904185101,36.71023359,20.92677474,31.00659707,31.61288052,26.8286136,25.8158596,0,0.145311193
180,51.60399097,18.47969147,39.2040173,4.101604007,44.65370058,24.71631264,23.73016002,28.18162402,25.60108621,26.51668004,0,0.168605543
181,46.27886211,16.03142325,31.14188268,3.552535302,34.36703171,26.33122387,22.81202767,31.49808745,21.86770961,27.43108182,0,0.242430597
182,55.29324587,17.34482869,31.14217197,3.774977904,37.84498043,23.33044516,29.04178081,34.06577823,21.62525338,23.26562347,0,0.124299186
183,45.38742167,16.1240327,36.71708809,3.746629979,33.4270268,20.2029504,22.47162084,28.13015421,19.58972354,26.04524551,0,0.144059756
184,49.44685231,17.49055121,37.64742235,3.256674241,39.61884753,28.42713332,24.28019182,24.89129947,22.52468224,21.87008362,0,0.178333003
185,39.41725574,11.73112397,27.00614992,4.212367367,27.088408,19.3950109,19.00191803,22.05796451,20.7513348,19.58892526,0,0.101373731
186,41.71778226,13.20336306,34.8969834,4.017713707,31.77247936,25.70549516,21.56344597,29.0518315,19.38279578,26.11980492,0,0.137366402
187,46.8178958,13.32220725,30.17413079,3.884575267,33.49450305,23.86614243,20.35564403,22.45147629,24.79836003,24.29203844,0,0.201623983
188,47.78983992,14.9811675,25.72002477,3.49114821,26.81071997,22.7438137,14.55732495,20.80275403,16.50525907,25.24938585,0,0.222140819
189,38.6944279,12.89629384,28.75909774,4.111213285,42.32054597,20.21272762,19.28378204,17.12854909,18.12058315,23.01709821,0,0.249858517
190,45.75133342,10.72868077,31.76187904,3.835579984,31.61437386,20.79843527,14.61687737,16.94427879,20.57595988,19.01919429,0,0.197089214
