time;load_user1;load_user2;load_user3;load_user4;load_user5;load_user6;load_user7;load_user8;load_user9;load_user10;std_load_user1;std_load_user2;std_load_user3;std_load_user4;std_load_user5;std_load_user6;std_load_user7;std_load_user8;std_load_user9;std_load_user10;pv;std_pv;wind;std_wind
79;43.95350789;17.44173263;17.87567455;12.41810139;41.99716714;20.89734637;23.60893075;27.7056962;13.85141465;3.374787415;3.958009884;1.99995394;5.362702366;3.725430416;4.192998847;2.94321644;3.058739169;3.547914211;4.155424396;1.012436224;0;0;0.187;0.172830593
80;43.95350789;17.44173263;17.87567455;12.41810139;41.99716714;20.89734637;23.60893075;27.7056962;13.85141465;3.374787415;3.958009884;1.99995394;5.362702366;3.725430416;4.192998847;2.94321644;3.058739169;3.547914211;4.155424396;1.012436224;0;0;0.187;0.172830593
81;45.58996307;17.72757256;17.52801993;4.173063128;44.09820585;22.85265363;23.88365603;31.03902954;14.8725876;3.178146259;3.239868116;1.7643232;5.258405978;0.829941111;3.976129488;2.448580559;2.648418512;3.921850696;4.461776279;0.953443878;0;0;0.1908;0.164803833
82;45.58996307;17.72757256;17.52801993;4.173063128;44.09820585;22.85265363;23.88365603;31.03902954;14.8725876;3.178146259;3.239868116;1.7643232;5.258405978;0.829941111;3.976129488;2.448580559;2.648418512;3.921850696;4.461776279;0.953443878;0;0;0.1908;0.164803833
83;45.58996307;17.72757256;17.52801993;4.173063128;44.09820585;22.85265363;23.88365603;31.03902954;14.8725876;3.178146259;3.239868116;1.7643232;5.258405978;0.829941111;3.976129488;2.448580559;2.648418512;3.921850696;4.461776279;0.953443878;0;0;0.1908;0.164803833
84;45.58996307;17.72757256;17.52801993;4.173063128;44.09820585;22.85265363;23.88365603;31.03902954;14.8725876;3.178146259;3.239868116;1.7643232;5.258405978;0.829941111;3.976129488;2.448580559;2.648418512;3.921850696;4.461776279;0.953443878;0;0;0.1908;0.164803833
85;43.99127224;13.94569041;17.56434205;3.640184122;39.26660371;21.8226257;21.31955346;27.57911392;12.52107926;3.273809524;3.144985504;1.875584202;5.269302615;0.148022266;2.663882732;2.284093501;2.191079883;3.525407847;3.756323777;0.982142857;0;0;0.19;0.15790438
86;43.99127224;13.94569041;17.56434205;3.640184122;39.26660371;21.8226257;21.31955346;27.57911392;12.52107926;3.273809524;3.144985504;1.875584202;5.269302615;0.148022266;2.663882732;2.284093501;2.191079883;3.525407847;3.756323777;0.982142857;0;0;0.19;0.15790438
87;43.99127224;13.94569041;17.56434205;3.640184122;39.26660371;21.8226257;21.31955346;27.57911392;12.52107926;3.273809524;3.144985504;1.875584202;5.269302615;0.148022266;2.663882732;2.284093501;2.191079883;3.525407847;3.756323777;0.982142857;0;0;0.19;0.15790438
88;43.99127224;13.94569041;17.56434205;3.640184122;39.26660371;21.8226257;21.31955346;27.57911392;12.52107926;3.273809524;3.144985504;1.875584202;5.269302615;0.148022266;2.663882732;2.284093501;2.191079883;3.525407847;3.756323777;0.982142857;0;0;0.19;0.15790438
